LastName  FirstName Gender    FavoriteColor  DateOfBirth
Orlando   Sam       Male      Blue               12/31/1991
Jones     Amanda    Female    Red                  9/4/1989
Rooney    Wayne     Male      Green               7/14/1986
Jackson   Michael   Male      Yellow              3/15/1971
Lawrence  Jennifer  Female    Blue               10/10/1983
Sarandon  Susan     Female    Black                4/2/1959
Jackman   Hugh      Male      White                5/5/1973
Allen     Tim       Male      Red                 6/14/1969
Williams  Serena    Female    Green               8/27/1977
Williams  Venus     Female    Green               7/22/1974
